Date,Open,High,Low,Close,Adj Close,Volume
9/4/2007,10.7,10.99,10.55,10.95,10.95,380700
9/5/2007,10.85,10.85,10.56,10.62,10.62,212800
9/6/2007,10.53,10.6,10,10.35,10.35,492200
9/7/2007,10.2,10.2,9.7,10.05,10.05,293600
9/10/2007,10.1,10.41,10.05,10.2,10.2,675400
9/11/2007,10.4,10.6,10.3,10.46,10.46,843900
9/12/2007,10.5,10.8,10.5,10.68,10.68,640500
9/13/2007,10.75,11.27,10.65,11.11,11.11,785000
9/14/2007,10.98,11.35,10.75,11.3,11.3,1295500
9/17/2007,11.48,11.48,10.7,11.19,11.19,438100
9/18/2007,11.3,11.7,11.01,11.45,11.45,1126900
9/19/2007,11.59,11.65,11.2,11.48,11.48,698900
9/20/2007,11.5,11.83,11.47,11.64,11.64,1069800
9/21/2007,11.69,12.3,11.69,12.25,12.25,1225500
9/24/2007,12.39,12.7,12.2,12.4,12.4,1007600
9/25/2007,12.34,12.4,12.05,12.11,12.11,1065300
9/26/2007,12.3,12.8,12.25,12.57,12.57,1191900
9/27/2007,12.62,13,12.55,12.93,12.93,1941000
9/28/2007,12.98,13.3,12.75,12.9,12.9,1034600
10/1/2007,13,13.38,12.85,13.28,13.28,890900
10/2/2007,13.35,13.35,12.25,13.03,13.03,1079800
10/3/2007,13.03,13.11,12.4,12.43,12.43,455100
10/4/2007,12.6,13.09,12.6,12.95,12.95,852000
10/5/2007,13.19,13.35,13,13.24,13.24,354000
10/8/2007,13.2,13.2,12.88,13.1,13.1,184800
10/9/2007,13.1,13.2,12.88,13.1,13.1,438300
10/10/2007,12.95,13.1,12.75,12.96,12.96,456000
10/11/2007,13.05,13.15,12.4,12.41,12.41,340600
10/12/2007,12.4,12.54,12.15,12.28,12.28,333100
10/15/2007,12.44,12.48,12.09,12.34,12.34,517400
10/16/2007,12.16,12.34,10.86,12.2,12.2,498700
10/17/2007,12.35,12.48,11.99,12.09,12.09,750200
10/18/2007,12.18,12.34,11.9,12.24,12.24,404400
10/19/2007,12.2,12.7,11.93,12,12,458700
10/22/2007,11.72,12.11,11.5,12,12,501100
10/23/2007,12.15,12.28,12.06,12.12,12.12,488800
10/24/2007,12.12,12.25,12,12.19,12.19,590000
10/25/2007,12.24,12.3,12.1,12.18,12.18,343900
10/26/2007,12.2,12.4,12.2,12.39,12.39,461900
10/29/2007,12.45,12.7,12.29,12.4,12.4,724300
10/30/2007,12.34,12.58,12.31,12.49,12.49,163700
10/31/2007,12.5,13,12.4,12.7,12.7,431600
11/1/2007,12.75,12.75,12.3,12.61,12.61,358800
11/2/2007,12.5,12.75,12,12.15,12.15,499700
11/5/2007,12.2,12.35,11.75,11.85,11.85,510400
11/6/2007,11.74,12.07,11.74,11.96,11.96,624600
11/7/2007,11.98,12,11.48,11.53,11.53,506300
11/8/2007,11.53,11.87,10.76,11.27,11.27,588000
11/9/2007,11.2,11.2,9.53,11.04,11.04,545300
