Date,Open,High,Low,Close,Adj Close,Volume
3/23/2011,9.98,10.65,9.98,10.13,10.13,39500
3/24/2011,10.25,10.4,10.15,10.3,10.3,50600
3/25/2011,10.34,10.4,10.34,10.35,10.35,3800
3/28/2011,10.41,10.41,10.25,10.25,10.25,6900
3/29/2011,10.35,10.35,10.15,10.25,10.25,6900
3/30/2011,10.3,10.75,10.26,10.75,10.75,26200
3/31/2011,10.75,10.75,10.61,10.75,10.75,3400
4/1/2011,10.9,11,10.9,11,11,2200
4/4/2011,11.1,11.25,10.65,11.18,11.18,33100
4/5/2011,11.17,11.2,10.56,11.17,11.17,14200
4/6/2011,11.25,11.25,11.17,11.24,11.24,13700
4/7/2011,11.34,11.49,11.18,11.4,11.4,29300
4/8/2011,11.45,11.58,11.45,11.56,11.56,9800
4/11/2011,11.6,12.79,11.6,12.61,12.61,21000
4/12/2011,12.71,12.79,12.5,12.63,12.63,32300
4/13/2011,12.71,12.74,12.21,12.72,12.72,24900
4/14/2011,12.68,12.73,12.6,12.73,12.73,25300
4/15/2011,12.74,12.95,12.43,12.43,12.43,153900
4/18/2011,12.32,12.44,11.52,12.04,12.04,37600
4/19/2011,12.14,12.66,12.14,12.46,12.46,19800
4/20/2011,12.79,12.86,12.46,12.63,12.63,19500
4/21/2011,12.69,12.88,12.67,12.88,12.88,15700
4/25/2011,13,13.21,13,13,13,29900
4/26/2011,13.01,13.16,13.01,13.04,13.04,17700
4/27/2011,13.04,13.99,13,13.19,13.19,70700
4/28/2011,13.15,13.18,12.95,12.95,12.95,7600
4/29/2011,12.96,12.96,12.52,12.69,12.69,8900
5/2/2011,12.61,12.61,12.52,12.58,12.58,10000
5/3/2011,12.63,12.63,12.5,12.59,12.59,11000
5/4/2011,12.59,12.68,12.5,12.68,12.68,12000
5/5/2011,12.6,12.88,12.6,12.86,12.86,22500
5/6/2011,12.89,12.89,12.77,12.77,12.77,9600
5/9/2011,12.67,12.74,12.51,12.58,12.58,4100
5/10/2011,12.58,12.75,12.58,12.75,12.75,15200
5/11/2011,12.75,12.88,12.62,12.81,12.81,6800
5/12/2011,12.88,12.97,12.79,12.9,12.9,44000
5/13/2011,12.88,12.96,12.7,12.88,12.88,9700
5/16/2011,12.95,12.95,12.72,12.95,12.95,7300
5/17/2011,12.85,12.95,12.85,12.94,12.94,8300
5/18/2011,12.88,13.02,12.85,13.02,13.02,20200
5/19/2011,12.95,13.25,12.91,13.21,13.21,18700
5/20/2011,12.95,13.45,12.84,12.97,12.97,57500
5/23/2011,13.05,13.16,12.97,13.16,13.16,10400
5/24/2011,13.2,13.2,13.18,13.2,13.2,1700
5/25/2011,13.15,13.35,13.11,13.28,13.28,13500
5/26/2011,12.98,13.35,12.95,13.35,13.35,15800
5/27/2011,13.24,13.38,13.24,13.35,13.35,12500
5/31/2011,13.35,13.64,13.31,13.63,13.63,21200
6/1/2011,13.68,13.68,13.51,13.65,13.65,8100
6/2/2011,13.75,13.75,13.6,13.69,13.69,23000
6/3/2011,13.55,13.72,13.5,13.57,13.57,33500
6/6/2011,13.67,13.7,12.98,13.19,13.19,46900
6/7/2011,13.37,13.37,12,12.99,12.99,42300
6/8/2011,13.07,13.19,12.91,13.09,13.09,32700
6/9/2011,13,13.09,12.75,12.91,12.91,33000
6/10/2011,12.99,13,12.24,12.62,12.62,477100
6/13/2011,12.73,13.04,12.57,12.9,12.9,77500
6/14/2011,12.65,12.84,12.15,12.25,12.25,496200
6/15/2011,12.26,12.5,12.26,12.5,12.5,45600
6/16/2011,12.59,12.72,12.35,12.48,12.48,39900
6/17/2011,12.52,12.57,12.14,12.47,12.47,261300
6/20/2011,12.47,12.69,12.34,12.65,12.65,57400
6/21/2011,12.65,12.77,12.28,12.49,12.49,55300
6/22/2011,12.5,12.65,12.38,12.4,12.4,52000
6/23/2011,12.3,12.54,11.81,12.25,12.25,156600
6/24/2011,12.25,12.79,11.97,11.97,11.97,1791600
6/27/2011,12.1,12.24,11.87,12.1,12.1,88800
6/28/2011,12.17,12.25,12.16,12.24,12.24,53500
6/29/2011,12.3,12.44,11.96,12,12,49800
6/30/2011,12.06,12.26,12.04,12.11,12.11,97600
7/1/2011,12.15,12.15,12.01,12.05,12.05,31300
7/5/2011,12.05,12.25,12,12.05,12.05,25300
7/6/2011,12.17,12.87,11.96,12.12,12.12,80300
7/7/2011,12.21,12.65,12.21,12.52,12.52,56100
7/8/2011,12.43,12.57,12.35,12.49,12.49,22800
7/11/2011,12.48,12.61,12.44,12.52,12.52,30200
7/12/2011,12.53,12.85,12.53,12.7,12.7,119500
7/13/2011,12.75,12.81,12.71,12.74,12.74,112400
7/14/2011,12.74,12.75,12.57,12.58,12.58,46000
7/15/2011,12.56,12.56,12.33,12.36,12.36,29600
7/18/2011,12.35,12.4,11.93,12.34,12.34,58500
7/19/2011,12.37,12.54,12.31,12.47,12.47,30500
7/20/2011,12.44,12.56,12.24,12.3,12.3,30400
7/21/2011,12.37,12.59,12.35,12.58,12.58,14100
7/22/2011,12.61,12.61,12.33,12.5,12.5,11600
7/25/2011,12.42,12.55,12.3,12.34,12.34,39000
7/26/2011,12.38,12.38,12.02,12.14,12.14,33800
7/27/2011,12.05,12.1,12,12.04,12.04,62700
7/28/2011,11.99,12.23,11.99,12.17,12.17,26100
7/29/2011,12.16,12.42,12.11,12.26,12.26,105500
8/1/2011,12.4,12.45,12.08,12.28,12.28,78300
8/2/2011,12.29,12.41,12.01,12.02,12.02,26800
8/3/2011,12.07,12.3,11.95,12.22,12.22,30000
8/4/2011,12.17,12.4,11.98,11.98,11.98,47800
8/5/2011,12.02,12.29,11.8,12.17,12.17,37700
8/8/2011,12.07,12.45,11.7,11.7,11.7,90000
8/9/2011,11.97,12.41,10.97,11.69,11.69,97000
8/10/2011,12,12,10.57,10.6,10.6,76400
8/11/2011,10.69,10.99,10.5,10.56,10.56,74000
8/12/2011,10.6,11.34,10.42,11.04,11.04,141800
8/15/2011,11.04,11.32,10.84,11.04,11.04,28100
8/16/2011,10.99,11.02,10.5,10.62,10.62,32300
8/17/2011,10.68,11.15,10.63,11.09,11.09,21400
8/18/2011,11.02,11.09,10,10.08,10.08,61800
8/19/2011,10.02,10.6,10,10.3,10.3,49100
8/22/2011,10.45,10.63,9.87,10.12,10.12,68900
8/23/2011,10.19,10.75,10.06,10.72,10.72,47500
8/24/2011,10.7,11,10.55,10.97,10.97,20800
8/25/2011,10.97,11.03,10.41,10.45,10.45,28500
8/26/2011,10.47,10.76,10.25,10.67,10.67,18300
8/29/2011,10.72,11.23,10.72,11.22,11.22,28300
8/30/2011,11.09,11.45,10.95,11.42,11.42,14400
8/31/2011,11.45,11.45,11.1,11.29,11.29,27700
9/1/2011,11.34,11.63,10.92,10.97,10.97,42900
9/2/2011,10.85,10.85,9.9,9.94,9.94,59500
9/6/2011,9.77,10.44,9.77,10.14,10.14,56200
9/7/2011,10.24,10.75,10.24,10.71,10.71,48900
9/8/2011,10.62,10.95,10.38,10.7,10.7,36600
9/9/2011,10.61,10.85,10.34,10.43,10.43,54900
9/12/2011,10.35,10.43,10.1,10.35,10.35,23400
9/13/2011,10.41,10.61,10.35,10.56,10.56,16100
9/14/2011,10.63,10.83,10.36,10.8,10.8,70600
9/15/2011,10.86,11,10.4,10.9,10.9,35700
9/16/2011,10.94,11.15,10.86,11.09,11.09,107900
9/19/2011,10.95,11.04,10.85,10.86,10.86,16800
9/20/2011,10.86,11.04,10.65,10.67,10.67,34300
9/21/2011,10.67,11.24,10.16,10.21,10.21,35600
9/22/2011,10.05,10.2,9.76,9.91,9.91,74600
9/23/2011,9.93,11.08,9.93,10.82,10.82,57600
9/26/2011,10.83,11.15,10.62,11.08,11.08,23600
9/27/2011,11.34,11.39,10.85,11.38,11.38,54000
9/28/2011,11.45,11.45,10.69,10.74,10.74,30000
9/29/2011,10.94,10.94,10.51,10.76,10.76,16400
9/30/2011,10.64,10.82,10.33,10.4,10.4,50500
10/3/2011,10.35,10.85,9.57,9.65,9.65,48100
10/4/2011,9.63,10.71,9.58,10.58,10.58,79700
10/5/2011,10.66,10.66,10.34,10.6,10.6,19500
10/6/2011,10.61,10.61,10.3,10.49,10.49,48000
10/7/2011,10.52,10.61,10.26,10.37,10.37,66300
10/10/2011,10.45,10.8,10.43,10.7,10.7,62700
