Date,Open,High,Low,Close,Adj Close,Volume
2/9/2011,4656,5259,4656,16.440001,4932,15100
2/10/2011,5034,5067,4845,16.83,5049,1200
2/11/2011,5094,5094,4869,16.690001,5007,500
2/14/2011,5100,5241,4980,17.200003,5160,1200
2/15/2011,5292,5484,4980,17.030001,5109,1000
2/16/2011,5175,5454,5136,18.160002,5448,200
2/17/2011,5697,6000,5613,19.810001,5943,600
2/18/2011,5994,6690,5862,19.840002,5952,700
2/22/2011,5955,6300,5478,18.370001,5511,300
2/23/2011,5532,5988,5502,18.550001,5565,200
2/24/2011,5607,5796,5517,19.320002,5796,200
2/25/2011,5868,6114,5859,19.940001,5982,300
2/28/2011,6054,6300,5859,19.710001,5913,200
3/1/2011,5976,5982,5550,18.950003,5685,100
3/2/2011,5700,5802,5610,19.250002,5775,100
3/3/2011,5781,5850,5646,19.100002,5730,100
3/4/2011,5775,5787,5649,19.040001,5712,100
3/7/2011,5760,5958,5715,19.410002,5823,200
3/8/2011,5856,5874,5790,19.470001,5841,100
3/9/2011,5838,5862,5499,18.950003,5685,200
3/10/2011,5670,5697,5529,18.600002,5580,200
3/11/2011,5517,5670,5499,18.880001,5664,0
3/14/2011,5670,5670,5499,18.570002,5571,100
3/15/2011,5499,5595,5343,18.480001,5544,100
3/16/2011,5727,5805,5490,18.610001,5583,200
3/17/2011,5616,5925,5574,19.390001,5817,0
3/18/2011,5889,5925,5835,19.730001,5919,100
3/21/2011,5994,5994,5574,18.710001,5613,200
3/22/2011,5550,5820,5496,19.200003,5760,100
3/23/2011,5781,5829,5193,17.530001,5259,200
3/24/2011,5256,5256,5109,17.380001,5214,0
3/25/2011,5250,5352,5196,17.840002,5352,0
3/28/2011,5418,5775,5307,18.76,5628,100
3/29/2011,5850,6150,5850,19.800001,5940,1300
3/30/2011,6006,6096,5697,20.100002,6030,2400
3/31/2011,6045,6117,5769,19.700003,5910,1900
4/1/2011,5967,6402,5643,21.310001,6393,400
4/4/2011,6402,7095,6315,23.410002,7023,700
4/5/2011,7134,7449,6714,22.960001,6888,600
4/6/2011,6879,7677,6639,24.650002,7395,300
4/7/2011,7428,7908,7278,25.550001,7665,400
4/8/2011,7740,7893,7500,25.300001,7590,100
4/11/2011,7557,7821,7314,24.450003,7335,200
4/12/2011,7332,7410,6900,23.350002,7005,200
4/13/2011,6999,7125,6678,22.26,6678,100
4/14/2011,6645,6645,6207,20.910002,6273,200
4/15/2011,6249,6555,5922,20.340002,6102,200
4/18/2011,6015,6015,5664,19.270002,5781,300
4/19/2011,5835,5982,5835,19.710001,5913,100
4/20/2011,5955,6330,5907,21.100002,6330,100
4/21/2011,6327,6360,5973,20.110001,6033,0
4/25/2011,6048,6201,6015,20.610001,6183,0
