Date,Open,High,Low,Close,Adj Close,Volume
3/15/2006,59.970001,63.5,30,33.5,33.5,25500
3/16/2006,34,38,28.799999,29.5,29.5,14700
3/17/2006,32,32,25.030001,27.5,27.5,22000
3/20/2006,26,26,21.6,23.09,23.09,79100
3/21/2006,23.299999,24.389999,22.799999,23.85,23.85,10700
3/22/2006,24,26,23.9,26,26,23200
3/23/2006,27.450001,28,26.120001,28,28,5600
3/24/2006,27.82,28.5,26.9,28.5,28.5,15400
3/27/2006,28.5,32,28.5,32,32,12600
3/28/2006,32,34.990002,30.02,31.01,31.01,29100
3/29/2006,31.639999,33.889999,31.639999,33.400002,33.400002,9700
3/30/2006,33.599998,34.48,32.75,33.490002,33.490002,13800
3/31/2006,34,34.400002,32.849998,33.779999,33.779999,5400
4/3/2006,33.75,34.959999,33.75,34.25,34.25,11600
4/4/2006,34.970001,34.990002,34.5,34.5,34.5,11500
4/5/2006,34.849998,37,34.400002,36.5,36.5,43300
4/6/2006,37.619999,38,36.810001,37.009998,37.009998,20800
4/7/2006,37.700001,39.200001,36.849998,38.450001,38.450001,21500
4/10/2006,39.5,46.880001,38.900002,45.529999,45.529999,74300
4/11/2006,46.73,53.68,46.060001,49.029999,49.029999,80700
4/12/2006,50,52,45.150002,46.700001,46.700001,42700
4/13/2006,46.700001,49,43.75,46.049999,46.049999,25300
4/17/2006,45.02,49.48,44.5,46.779999,46.779999,29700
4/18/2006,46.799999,48.900002,46.150002,47.560001,47.560001,21400
4/19/2006,47.560001,48.900002,46.869999,48.099998,48.099998,18900
4/20/2006,48.75,48.75,47,47,47,11700
4/21/2006,47.759998,47.759998,46,46.169998,46.169998,9500
4/24/2006,47.5,47.5,44.25,44.400002,44.400002,8600
4/25/2006,44,44.41,38.52,39.84,39.84,35100
4/26/2006,39.990002,43.700001,39.990002,42.349998,42.349998,31600
4/27/2006,42.349998,43,40.189999,41.82,41.82,6500
4/28/2006,40.049999,41.830002,39.25,41.5,41.5,13500
5/1/2006,41,42.299999,41,41.5,41.5,10000
5/2/2006,42,45,41.16,45,45,26300
5/3/2006,45,46.75,44.299999,46.68,46.68,15200
5/4/2006,47,47,40.990002,42.099998,42.099998,18500
5/5/2006,46.099998,46.099998,41.200001,43.610001,43.610001,11100
5/8/2006,45,47,43.009998,47,47,28500
5/9/2006,47.400002,50.299999,47.400002,50.299999,50.299999,89800
5/10/2006,50,51,48.259998,50.5,50.5,28100
5/11/2006,50.52,52.990002,48.040001,49.75,49.75,71800
5/12/2006,49.5,50.099998,48.27,49.990002,49.990002,15000
5/15/2006,49.799999,49.799999,42.400002,44.290001,44.290001,49900
5/16/2006,44.709999,44.990002,40,43.549999,43.549999,17100
5/17/2006,42.5,42.5,40.23,40.990002,40.990002,20700
5/18/2006,40.98,43,37.060001,38.509998,38.509998,24400
5/19/2006,38.509998,39.5,32.650002,34.400002,34.400002,61400
5/22/2006,34.400002,36.970001,33,33.880001,33.880001,29900
5/23/2006,34.52,36.5,34,35.549999,35.549999,29500
5/24/2006,36.889999,38,35.990002,37,37,10900
5/25/2006,37.099998,38.439999,37.02,37.610001,37.610001,5600
5/26/2006,37.98,37.98,37,37.299999,37.299999,8400
5/30/2006,37.200001,37.5,35.279999,36.07,36.07,11800
5/31/2006,36,36.07,35,35,35,9900
6/1/2006,35,35.349998,34.25,35.349998,35.349998,5300
6/2/2006,35.5,38.41,35.369999,37.43,37.43,12800
6/5/2006,38.700001,38.75,37,37.98,37.98,9300
6/6/2006,39.84,39.84,36.599998,38,38,7700
6/7/2006,38,38.400002,37.560001,37.560001,37.560001,11500
6/8/2006,37.07,37.490002,36.5,37.150002,37.150002,11200
6/9/2006,36.689999,36.689999,36.5,36.5,36.5,1900
6/12/2006,37.5,37.5,33.950001,35.66,35.66,17400
6/13/2006,33.75,35.66,31.190001,31.5,31.5,20200
6/14/2006,31.08,32.98,31.08,32.48,32.48,6900
6/15/2006,32,32,30.52,31.68,31.68,5200
6/16/2006,31.5,31.5,28.15,28.639999,28.639999,18500
6/19/2006,28.99,28.99,27,27,27,10800
6/20/2006,26.73,27.32,26.1,26.51,26.51,5700
6/21/2006,26.5,27.799999,26,27.6,27.6,11400
6/22/2006,28,32,28,30.5,30.5,14500
6/23/2006,32.990002,34.25,31.209999,33.91,33.91,21900
6/26/2006,34.98,36.43,33.529999,34.5,34.5,17800
6/27/2006,34.150002,36.740002,34.150002,36.5,36.5,9300
6/28/2006,36.990002,36.990002,35,35,35,5300
6/29/2006,35,35,31.51,32.98,32.98,13100
6/30/2006,32.599998,34.849998,32.599998,33.5,33.5,4900
7/3/2006,34.849998,34.849998,33.799999,34.290001,34.290001,900
7/5/2006,34.5,34.5,33,33,33,2300
7/6/2006,34.5,34.5,32.720001,32.720001,32.720001,6200
7/7/2006,31.799999,33.900002,31.799999,32.700001,32.700001,2000
7/10/2006,32,33.700001,32,33.400002,33.400002,600
7/11/2006,33.25,34.599998,33.130001,34.25,34.25,5000
7/12/2006,32.200001,34.57,32,32.66,32.66,5700
7/13/2006,33.900002,34,33.290001,33.5,33.5,1600
7/14/2006,33.48,35,33.400002,33.549999,33.549999,8600
7/17/2006,33.25,35.099998,33.049999,33.610001,33.610001,9100
7/18/2006,34.990002,34.990002,30,30,30,13800
7/19/2006,30.049999,32,30.049999,31.870001,31.870001,3700
7/20/2006,32,33,31.5,32.200001,32.200001,6500
7/21/2006,31.629999,32.009998,30.129999,31.4,31.4,6600
7/24/2006,33.98,33.98,30.5,30.9,30.9,3300
7/25/2006,30.9,31.200001,29.200001,29.98,29.98,5000
7/26/2006,33.98,33.98,28,30.139999,30.139999,8200
7/27/2006,30,32.470001,30,32.470001,32.470001,8600
7/28/2006,32,32.799999,30.549999,31,31,1800
7/31/2006,31.25,32.700001,31.1,32.5,32.5,2300
8/1/2006,31.6,32.5,31,32.5,32.5,5600
8/2/2006,32,32.5,30.879999,31.059999,31.059999,20000
8/3/2006,31.99,31.99,31,31.879999,31.879999,16700
8/4/2006,32.299999,32.299999,31.02,31.09,31.09,7300
8/7/2006,32.25,32.25,31.450001,31.58,31.58,3800
8/8/2006,31.870001,31.870001,31,31.700001,31.700001,5100
8/9/2006,31.129999,31.85,27.85,28.549999,28.549999,16400
8/10/2006,30.5,30.5,26.65,26.65,26.65,13400
8/11/2006,26.379999,26.57,25.6,25.75,25.75,13300
8/14/2006,27.799999,27.799999,26,26.74,26.74,18600
8/15/2006,27.99,29.639999,26.799999,28,28,15500
8/16/2006,27.66,28.040001,27.290001,27.75,27.75,6000
8/17/2006,29.49,29.49,28,28.41,28.41,7000
8/18/2006,28.76,28.76,27.299999,27.99,27.99,8400
8/21/2006,27.98,27.98,27.299999,27.5,27.5,4600
8/22/2006,27.5,28,27.190001,27.75,27.75,7800
8/23/2006,28.25,28.469999,27.549999,27.93,27.93,5600
8/24/2006,27.65,28.469999,27.59,27.91,27.91,4200
8/25/2006,27.5,27.5,27.5,27.5,27.5,700
8/28/2006,28.59,28.59,27.6,27.6,27.6,3300
8/29/2006,27.82,28.15,27.559999,27.75,27.75,4400
8/30/2006,27.85,27.85,27.370001,27.48,27.48,1800
8/31/2006,27.299999,27.879999,27.209999,27.85,27.85,13600
9/1/2006,28,28,27,27,27,3500
9/5/2006,27.059999,27.459999,27,27,27,8000
9/6/2006,27.1,27.120001,25.110001,25.110001,25.110001,10300
9/7/2006,26.860001,26.860001,23,24,24,11200
9/8/2006,26.309999,26.41,24.059999,24.120001,24.120001,11800
9/11/2006,24.01,24.620001,19.440001,20.549999,20.549999,35100
9/12/2006,21.23,23,20.52,22.5,22.5,22400
9/13/2006,22.32,22.9,22.129999,22.6,22.6,7500
9/14/2006,23.07,23.5,22.51,23.5,23.5,10200
9/15/2006,23.879999,23.9,22.719999,22.719999,22.719999,5900
9/18/2006,22.65,22.65,21.549999,21.559999,21.559999,6200
9/19/2006,21.76,21.76,20.83,21.200001,21.200001,11000
9/20/2006,20.74,21.059999,20.559999,20.58,20.58,4900
9/21/2006,20.5,20.5,19.9,20,20,8800
9/22/2006,20,20,19.5,19.5,19.5,10000
9/25/2006,19.120001,19.450001,16.629999,18,18,38400
9/26/2006,17.5,18.1,17.5,17.93,17.93,15600
9/27/2006,17.540001,18.33,17.540001,18.030001,18.030001,7900
9/28/2006,18.799999,18.799999,18.059999,18.27,18.27,9600
9/29/2006,18.440001,19.299999,18.440001,18.77,18.77,7600
10/2/2006,19,21.18,19,21,21,21600
10/3/2006,20.6,21.940001,20,21.049999,21.049999,11500
10/4/2006,21.85,21.85,21.01,21.01,21.01,4800
10/5/2006,21.5,21.51,21.049999,21.15,21.15,3600
10/6/2006,21.879999,22.02,21.25,21.360001,21.360001,4800
10/9/2006,21.51,22.450001,21.51,22.370001,22.370001,4400
10/10/2006,22.49,23.700001,22.41,23.629999,23.629999,4800
10/11/2006,23.58,28.09,23.58,27.700001,27.700001,33500
10/12/2006,28,28,27,27.43,27.43,10200
10/13/2006,27.950001,27.950001,25.67,26.139999,26.139999,8800
10/16/2006,25.709999,26.25,25.15,25.9,25.9,8500
10/17/2006,26.49,26.49,25.540001,25.84,25.84,2200
10/18/2006,25.540001,26.780001,25.540001,26.25,26.25,2500
10/19/2006,26.65,26.65,26.32,26.639999,26.639999,400
10/20/2006,26.82,27.24,25.5,26,26,3500
10/23/2006,25.02,25.690001,25.02,25.02,25.02,2600
10/24/2006,25.48,27.23,25.41,26.25,26.25,3600
10/25/2006,26.68,27.290001,26.68,27.25,27.25,3100
10/26/2006,27.280001,28,27.280001,27.780001,27.780001,5800
10/27/2006,27.799999,28.200001,27.780001,27.83,27.83,3100
10/30/2006,28.190001,28.190001,27.5,27.889999,27.889999,1000
10/31/2006,27.57,27.68,27.5,27.68,27.68,1200
11/1/2006,27.5,27.799999,27.5,27.75,27.75,1800
11/2/2006,27.879999,27.879999,26.809999,26.889999,26.889999,4400
11/3/2006,26.889999,27,25.42,27,27,6200
11/6/2006,26.5,26.99,26.5,26.51,26.51,1300
11/7/2006,26.51,26.77,26.51,26.77,26.77,400
11/8/2006,26.799999,26.98,26.5,26.5,26.5,5400
11/9/2006,26.35,26.389999,26.209999,26.209999,26.209999,3000
11/10/2006,26.49,27,26.4,26.799999,26.799999,4800
11/13/2006,26.43,26.51,25.799999,26,26,11900
11/14/2006,25.700001,25.700001,25,25.08,25.08,15100
11/15/2006,25.49,26.08,25.49,25.75,25.75,17200
11/16/2006,25.5,26.5,25.200001,26,26,10600
11/17/2006,26.41,27,26.4,26.799999,26.799999,9000
11/20/2006,27.299999,27.299999,27.23,27.25,27.25,2700
11/21/2006,26.5,26.709999,25.33,25.370001,25.370001,4800
11/22/2006,25.5,25.5,25.02,25.49,25.49,3900
11/24/2006,25.5,25.5,25.49,25.49,25.49,700
11/27/2006,25.5,25.5,25,25,25,3600
11/28/2006,24.700001,24.879999,23.15,23.209999,23.209999,4800
11/29/2006,23.15,25.5,23.15,25.5,25.5,7900
11/30/2006,26,28.25,25.6,27.709999,27.709999,16200
12/1/2006,27.26,27.610001,25.799999,26.120001,26.120001,5400
12/4/2006,26.120001,26.139999,25.379999,25.559999,25.559999,4700
12/5/2006,25.5,25.6,24.91,24.91,24.91,17800
12/6/2006,24.99,25.5,24.959999,25.469999,25.469999,2500
12/7/2006,25.17,25.6,25.17,25.6,25.6,1900
12/8/2006,25.4,25.4,24.799999,24.799999,24.799999,400
12/11/2006,25,25,24.17,24.799999,24.799999,2800
12/12/2006,24.450001,24.879999,24.450001,24.879999,24.879999,300
12/13/2006,24.879999,24.959999,24.360001,24.360001,24.360001,1100
12/14/2006,24.5,24.77,24.5,24.76,24.76,1600
12/15/2006,24.950001,25.24,24.950001,25.049999,25.049999,49900
12/18/2006,24.719999,24.83,24.200001,24.200001,24.200001,8000
12/19/2006,24.43,24.530001,23.780001,23.790001,23.790001,4500
12/20/2006,24.450001,24.450001,23.110001,23.200001,23.200001,14400
12/21/2006,23.1,23.1,22.52,22.610001,22.610001,2200
12/22/2006,23.08,23.129999,22.530001,23.1,23.1,5300
12/26/2006,23,23.799999,22.99,23.48,23.48,6600
12/27/2006,23.75,23.9,23.389999,23.9,23.9,4500
12/28/2006,23.9,24.700001,23.9,24.700001,24.700001,4100
12/29/2006,24.809999,24.809999,24.25,24.75,24.75,5900
1/3/2007,24.809999,25,24.34,25,25,8300
1/4/2007,25,25,23.4,23.690001,23.690001,6400
1/5/2007,23.42,23.42,22.35,22.35,22.35,7900
1/8/2007,22.5,23.25,22.5,23.25,23.25,2000
1/9/2007,23.200001,23.41,23.200001,23.209999,23.209999,1100
1/10/2007,23.15,23.4,23.15,23.4,23.4,2900
1/11/2007,23.43,23.6,23.4,23.450001,23.450001,14200
1/12/2007,23.43,23.93,23.43,23.75,23.75,16300
1/16/2007,23.940001,23.940001,23.41,23.799999,23.799999,5900
1/17/2007,23.969999,23.969999,23.5,23.5,23.5,9800
1/18/2007,23.4,23.5,23.4,23.5,23.5,1600
1/19/2007,23.809999,23.809999,23.43,23.43,23.43,4100
1/22/2007,23.889999,23.889999,23.41,23.450001,23.450001,2800
