Date,Open,High,Low,Close,Volume,Adj Close
6/12/2014,0.42,0.44,0.41,0.42,271800,0.42
6/11/2014,0.42,0.45,0.4,0.42,187400,0.42
6/10/2014,0.45,0.45,0.41,0.42,471200,0.42
6/9/2014,0.44,0.45,0.43,0.43,291000,0.43
6/6/2014,0.42,0.44,0.42,0.43,541900,0.43
6/5/2014,0.4,0.43,0.4,0.42,245900,0.42
6/4/2014,0.45,0.45,0.38,0.41,833000,0.41
6/3/2014,0.49,0.5,0.43,0.45,457100,0.45
6/2/2014,0.43,0.5,0.42,0.49,931000,0.49
5/30/2014,0.47,0.48,0.44,0.44,543900,0.44
5/29/2014,0.45,0.47,0.45,0.46,457400,0.46
5/28/2014,0.45,0.55,0.42,0.47,1196000,0.47
5/27/2014,0.56,0.56,0.47,0.5,803500,0.5
5/23/2014,0.5,0.62,0.48,0.52,1726900,0.52
5/22/2014,0.42,0.46,0.41,0.44,605700,0.44
5/21/2014,0.47,0.5,0.41,0.44,941300,0.44
5/20/2014,0.55,0.55,0.48,0.51,667100,0.51
5/19/2014,0.55,0.57,0.54,0.55,369500,0.55
5/16/2014,0.56,0.59,0.56,0.57,185700,0.57
5/15/2014,0.66,0.66,0.55,0.57,539300,0.57
5/14/2014,0.6,0.63,0.59,0.59,540700,0.59
5/13/2014,0.61,0.63,0.59,0.62,768400,0.62
5/12/2014,0.66,0.68,0.61,0.64,435600,0.64
5/9/2014,0.6,0.65,0.59,0.64,434600,0.64
5/8/2014,0.58,0.63,0.58,0.63,377900,0.63
5/7/2014,0.64,0.66,0.57,0.58,576100,0.58
5/6/2014,0.75,0.75,0.6,0.62,1343300,0.62
5/5/2014,0.8,0.82,0.71,0.74,743000,0.74
5/2/2014,0.75,0.82,0.72,0.78,1474500,0.78
5/1/2014,0.62,0.8,0.58,0.74,1497200,0.74
4/30/2014,0.6,0.61,0.58,0.61,175800,0.61
4/29/2014,0.57,0.62,0.56,0.6,327300,0.6
4/28/2014,0.58,0.58,0.53,0.56,455200,0.56
4/25/2014,0.55,0.62,0.51,0.53,417400,0.53
4/24/2014,0.59,0.6,0.57,0.57,211000,0.57
4/23/2014,0.56,0.62,0.56,0.59,303000,0.59
4/22/2014,0.6,0.66,0.53,0.59,1015500,0.59
4/21/2014,0.66,0.66,0.61,0.62,310300,0.62
4/17/2014,0.66,0.69,0.61,0.63,491800,0.63
4/16/2014,0.66,0.67,0.64,0.66,328100,0.66
4/15/2014,0.65,0.66,0.61,0.66,341600,0.66
4/14/2014,0.64,0.67,0.62,0.64,543800,0.64
4/11/2014,0.61,0.66,0.61,0.64,957200,0.64
4/10/2014,0.64,0.66,0.63,0.65,647300,0.65
4/9/2014,0.69,0.69,0.55,0.65,1104200,0.65
4/8/2014,0.7,0.7,0.65,0.66,1296500,0.66
4/7/2014,0.76,0.79,0.63,0.7,2190800,0.7
4/4/2014,0.72,0.72,0.64,0.71,2055000,0.71
4/3/2014,0.79,0.79,0.69,0.72,2217800,0.72
4/2/2014,0.92,0.94,0.75,0.81,4405100,0.81
4/1/2014,0.8,1.06,0.75,0.84,14211600,0.84
3/31/2014,0.42,0.58,0.42,0.57,4570800,0.57
3/28/2014,0.39,0.41,0.33,0.41,3588100,0.41
3/27/2014,0.41,0.45,0.36,0.38,3789900,0.38
3/26/2014,0.6,0.6,0.47,0.47,2368600,0.47
3/25/2014,0.68,0.69,0.55,0.6,2547600,0.6
3/24/2014,0.65,0.69,0.63,0.68,1163100,0.68
3/21/2014,0.72,0.72,0.64,0.67,1660300,0.67
3/20/2014,0.67,0.7,0.6,0.65,3195600,0.65
3/19/2014,0.7,0.7,0.58,0.64,3539700,0.64
3/18/2014,0.6,0.79,0.6,0.65,5688800,0.65
3/17/2014,1.25,1.25,1.03,1.07,1402500,1.07
3/14/2014,1.14,1.21,1.13,1.15,939400,1.15
3/13/2014,1.16,1.21,1.11,1.13,1382200,1.13
3/12/2014,1.25,1.32,1.2,1.25,1169900,1.25
3/11/2014,1.43,1.51,1.22,1.31,1678800,1.31
3/10/2014,1.48,1.49,1.4,1.44,734400,1.44
3/7/2014,1.57,1.58,1.4,1.47,1057200,1.47
3/6/2014,1.62,1.66,1.5,1.54,880700,1.54
3/5/2014,1.44,1.64,1.42,1.58,2273000,1.58
3/4/2014,1.47,1.52,1.4,1.44,1400400,1.44
3/3/2014,1.39,1.47,1.28,1.42,1645900,1.42
2/28/2014,1.52,1.55,1.27,1.4,2374500,1.4
2/27/2014,1.19,1.64,1.17,1.5,6120300,1.5
2/26/2014,1.26,1.26,1.14,1.15,888800,1.15
2/25/2014,1.3,1.3,1.2,1.23,735100,1.23
2/24/2014,1.15,1.35,1.14,1.31,1487400,1.31
2/21/2014,1.15,1.18,1.12,1.14,799400,1.14
2/20/2014,1.14,1.19,1.13,1.14,178600,1.14
2/19/2014,1.16,1.22,1.15,1.15,161700,1.15
2/18/2014,1.14,1.18,1.14,1.18,203600,1.18
2/14/2014,1.14,1.16,1.12,1.12,276000,1.12
2/13/2014,1.13,1.15,1.1,1.13,405600,1.13
2/12/2014,1.23,1.23,1.13,1.13,466400,1.13
2/11/2014,1.19,1.27,1.18,1.2,451800,1.2
2/10/2014,1.14,1.2,1.11,1.18,273900,1.18
2/7/2014,1.1,1.14,1.1,1.1,235500,1.1
2/6/2014,1.12,1.15,1.1,1.1,247400,1.1
2/5/2014,1.13,1.14,1.1,1.11,289600,1.11
2/4/2014,1.15,1.18,1.1,1.13,394300,1.13
2/3/2014,1.18,1.21,1.15,1.15,348100,1.15
1/31/2014,1.16,1.29,1.16,1.19,628200,1.19
1/30/2014,1.2,1.25,1.18,1.18,281700,1.18
1/29/2014,1.25,1.26,1.14,1.2,752800,1.2
1/28/2014,1.31,1.31,1.26,1.27,261700,1.27
1/27/2014,1.41,1.41,1.26,1.32,534000,1.32
1/24/2014,1.51,1.51,1.39,1.4,348100,1.4
1/23/2014,1.54,1.54,1.5,1.51,209700,1.51
1/22/2014,1.51,1.57,1.47,1.54,613700,1.54
1/21/2014,1.44,1.5,1.44,1.5,448700,1.5
1/17/2014,1.43,1.45,1.41,1.44,282000,1.44
1/16/2014,1.4,1.43,1.39,1.42,214800,1.42
1/15/2014,1.41,1.41,1.35,1.39,338300,1.39
1/14/2014,1.41,1.45,1.3,1.36,1016900,1.36
1/13/2014,1.55,1.58,1.46,1.49,512400,1.49
1/10/2014,1.56,1.6,1.46,1.57,807600,1.57
1/9/2014,1.73,1.74,1.57,1.65,461600,1.65
1/8/2014,1.73,1.78,1.66,1.75,395500,1.75
1/7/2014,1.76,1.79,1.72,1.75,373000,1.75
1/6/2014,1.72,1.8,1.69,1.77,622500,1.77
1/3/2014,1.6,1.71,1.58,1.69,641100,1.69
1/2/2014,1.66,1.73,1.55,1.6,708200,1.6
12/31/2013,1.77,1.78,1.64,1.68,581000,1.68
12/30/2013,1.81,1.85,1.68,1.79,948900,1.79
12/27/2013,1.6,1.84,1.58,1.81,1115300,1.81
12/26/2013,1.53,1.6,1.52,1.57,312000,1.57
12/24/2013,1.61,1.63,1.51,1.53,454400,1.53
12/23/2013,1.6,1.61,1.56,1.6,371900,1.6
12/20/2013,1.55,1.65,1.55,1.57,1014700,1.57
12/19/2013,1.56,1.64,1.52,1.53,297900,1.53
12/18/2013,1.57,1.57,1.52,1.56,335000,1.56
12/17/2013,1.47,1.64,1.46,1.55,468400,1.55
12/16/2013,1.57,1.59,1.48,1.49,507100,1.49
12/13/2013,1.51,1.66,1.51,1.57,580700,1.57
12/12/2013,1.48,1.53,1.4,1.5,649100,1.5
12/11/2013,1.71,1.71,1.47,1.5,930300,1.5
12/10/2013,1.85,1.88,1.71,1.72,575000,1.72
12/9/2013,1.92,1.98,1.83,1.84,319600,1.84
12/6/2013,1.9,1.94,1.86,1.92,371000,1.92
12/5/2013,1.89,1.96,1.77,1.86,393700,1.86
12/4/2013,2.04,2.08,1.85,1.89,763900,1.89
12/3/2013,2.15,2.15,2.04,2.06,316600,2.06
12/2/2013,2.36,2.38,2.12,2.17,689800,2.17
11/29/2013,2.4,2.4,2.32,2.36,110400,2.36
11/27/2013,2.42,2.42,2.35,2.4,391000,2.4
11/26/2013,2.49,2.51,2.37,2.41,387300,2.41
11/25/2013,2.48,2.54,2.43,2.48,157000,2.48
11/22/2013,2.44,2.55,2.41,2.5,332400,2.5
11/21/2013,2.43,2.48,2.42,2.43,243500,2.43
11/20/2013,2.54,2.6,2.38,2.41,360300,2.41
11/19/2013,2.46,2.69,2.42,2.52,985900,2.52
11/18/2013,2.54,2.78,2.43,2.48,1137100,2.48
11/15/2013,2.42,2.57,2.37,2.54,1084800,2.54
11/14/2013,2.41,2.48,2.35,2.39,476700,2.39
11/13/2013,2.55,2.55,2.36,2.4,448100,2.4
11/12/2013,2.52,2.59,2.46,2.55,477300,2.55
11/11/2013,2.44,2.57,2.39,2.54,664200,2.54
11/8/2013,2.31,2.45,2.31,2.41,279200,2.41
11/7/2013,2.35,2.48,2.27,2.34,328500,2.34
11/6/2013,2.4,2.43,2.3,2.35,282300,2.35
11/5/2013,2.32,2.54,2.31,2.39,421800,2.39
11/4/2013,2.25,2.34,2.22,2.32,427000,2.32
11/1/2013,2.34,2.36,2.24,2.26,572600,2.26
10/31/2013,2.43,2.48,2.32,2.33,236700,2.33
10/30/2013,2.53,2.55,2.4,2.42,215400,2.42
10/29/2013,2.48,2.62,2.46,2.51,318100,2.51
10/28/2013,2.59,2.63,2.42,2.48,340300,2.48
10/25/2013,2.65,2.69,2.48,2.61,680300,2.61
10/24/2013,2.43,2.65,2.36,2.64,626000,2.64
10/23/2013,2.42,2.53,2.34,2.41,269600,2.41
10/22/2013,2.49,2.59,2.4,2.45,702000,2.45
10/21/2013,2.7,2.87,2.37,2.45,1250100,2.45
10/18/2013,2.34,2.65,2.27,2.6,1239200,2.6
10/17/2013,2.25,2.32,2.22,2.3,182600,2.3
10/16/2013,2.33,2.39,2.21,2.24,596400,2.24
10/15/2013,2.39,2.44,2.24,2.26,752900,2.26
10/14/2013,2.4,2.55,2.36,2.39,548500,2.39
10/11/2013,2.33,2.46,2.3,2.45,309900,2.45
10/10/2013,2.27,2.45,2.25,2.31,713200,2.31
10/9/2013,2.19,2.21,2.06,2.18,610900,2.18
10/8/2013,2.32,2.44,2.11,2.11,698500,2.11
10/7/2013,2.29,2.37,2.2,2.32,409100,2.32
10/4/2013,2.36,2.44,2.29,2.3,379500,2.3
10/3/2013,2.54,2.55,2.3,2.36,674100,2.36
10/2/2013,2.53,2.62,2.43,2.56,702900,2.56
10/1/2013,2.85,2.9,2.51,2.54,1228600,2.54
9/30/2013,2.61,2.9,2.5,2.82,1454000,2.82
9/27/2013,2.96,3.04,2.58,2.65,2233200,2.65
9/26/2013,1.9,3.1,1.85,2.89,8649000,2.89
9/25/2013,1.96,1.98,1.83,1.83,543000,1.83
9/24/2013,1.85,2.18,1.84,1.98,1664000,1.98
9/23/2013,1.75,1.9,1.75,1.87,427000,1.87
9/20/2013,1.79,1.85,1.75,1.75,684300,1.75
9/19/2013,1.82,1.87,1.75,1.76,285600,1.76
9/18/2013,1.71,1.81,1.66,1.8,653000,1.8
9/17/2013,1.6,1.74,1.59,1.72,481000,1.72
9/16/2013,1.72,1.78,1.59,1.59,491400,1.59
9/13/2013,1.83,1.88,1.67,1.69,348300,1.69
9/12/2013,1.83,1.85,1.65,1.8,620600,1.8
9/11/2013,1.9,1.94,1.7,1.78,1644500,1.78
9/10/2013,1.5,1.9,1.43,1.87,1824700,1.87
9/9/2013,1.47,1.55,1.3,1.5,1363400,1.5
9/6/2013,1.63,1.67,1.43,1.49,1264700,1.49
9/5/2013,1.88,1.95,1.63,1.72,1557900,1.72
9/4/2013,2.09,2.1,1.9,1.91,747500,1.91
9/3/2013,2.2,2.28,2.06,2.12,728300,2.12
8/30/2013,2.31,2.34,2.17,2.21,610300,2.21
8/29/2013,2.4,2.42,2.31,2.34,253500,2.34
8/28/2013,2.41,2.49,2.39,2.41,224000,2.41
8/27/2013,2.51,2.51,2.36,2.4,665500,2.4
8/26/2013,2.63,2.7,2.5,2.51,326200,2.51
8/23/2013,2.6,2.69,2.6,2.61,303400,2.61
8/22/2013,2.61,2.72,2.55,2.61,197900,2.61
8/21/2013,2.52,2.73,2.5,2.55,613500,2.55
8/20/2013,2.47,2.66,2.42,2.55,872900,2.55
8/19/2013,2.64,2.72,2.34,2.45,1456000,2.45
8/16/2013,2.63,2.73,2.62,2.64,469800,2.64
8/15/2013,2.73,2.77,2.62,2.62,823900,2.62
8/14/2013,2.92,2.99,2.68,2.74,1419700,2.74
8/13/2013,3.61,3.67,2.72,2.89,3205900,2.89
8/12/2013,4.1,4.17,3.62,3.67,587200,3.67
8/9/2013,4.24,4.29,4,4.17,1634300,4.17
8/8/2013,4.83,4.83,4.13,4.29,336400,4.29
8/7/2013,4.87,4.88,4.72,4.76,196200,4.76
8/6/2013,4.9,4.98,4.87,4.92,218900,4.92
8/5/2013,4.87,4.98,4.83,4.93,129400,4.93
8/2/2013,4.6,4.95,4.6,4.89,312200,4.89
8/1/2013,4.8,4.8,4.58,4.61,153600,4.61
7/31/2013,4.63,4.94,4.6,4.81,115900,4.81
7/30/2013,4.71,4.75,4.59,4.64,99100,4.64
7/29/2013,4.78,4.84,4.6,4.71,93400,4.71
7/26/2013,4.74,4.89,4.67,4.87,58400,4.87
7/25/2013,4.62,4.78,4.56,4.73,86000,4.73
7/24/2013,4.79,4.79,4.55,4.64,196200,4.64
7/23/2013,4.61,4.89,4.61,4.75,187600,4.75
7/22/2013,4.53,4.65,4.44,4.6,166200,4.6
7/19/2013,4.38,4.68,4.38,4.63,140200,4.63
7/18/2013,4.39,4.58,4.39,4.39,166600,4.39
7/17/2013,4.39,4.46,4.38,4.4,202500,4.4
7/16/2013,4.38,4.45,4.38,4.42,218000,4.42
7/15/2013,4.37,4.47,4.34,4.39,123600,4.39
7/12/2013,4.33,4.45,4.33,4.37,146300,4.37
7/11/2013,4.58,4.62,4.33,4.36,196200,4.36
7/10/2013,4.45,4.5,4.27,4.5,254100,4.5
7/9/2013,4.65,4.72,4.42,4.47,610400,4.47
7/8/2013,4.81,4.84,4.56,4.65,233500,4.65
7/5/2013,4.8,4.84,4.6,4.75,185900,4.75
7/3/2013,4.76,4.89,4.51,4.72,164800,4.72
7/2/2013,5.44,5.44,4.77,4.8,461700,4.8
7/1/2013,5.63,5.78,5.37,5.42,376800,5.42
6/28/2013,5.66,5.8,5.14,5.71,2641400,5.71
6/27/2013,4.93,5.94,4.84,5.85,1229600,5.85
6/26/2013,4.47,4.95,4.46,4.94,334900,4.94
6/25/2013,4.71,4.78,4.25,4.46,309900,4.46
6/24/2013,4.02,4.7,3.97,4.53,274200,4.53
6/21/2013,4.01,4.13,3.95,4.1,250700,4.1
6/20/2013,4.2,4.2,3.95,3.99,284100,3.99
6/19/2013,4.17,4.25,4.12,4.25,139700,4.25
6/18/2013,4.1,4.25,4.05,4.23,162800,4.23
6/17/2013,4,4.1,3.96,4.1,229700,4.1
6/14/2013,3.98,4.03,3.9,3.98,118600,3.98
6/13/2013,3.99,4,3.9,3.96,94400,3.96
