Date,Open,High,Low,Close,Adj Close,Volume
10/25/2012,5.08,5.08,4.75,4.86,4.86,81500
10/26/2012,5.02,5.05,4.91,5.02,5.02,20400
10/31/2012,5.05,5.25,5,5.1,5.1,17300
11/1/2012,5.1,5.15,5.05,5.08,5.08,6700
11/2/2012,5.05,5.1,5.05,5.1,5.1,1500
11/5/2012,5,5,4.99,5,5,2400
11/6/2012,4.95,5,4.95,5,5,1700
11/7/2012,4.95,5,4.9,5,5,10700
11/8/2012,4.9,4.9,4.9,4.9,4.9,2600
11/9/2012,5,5.01,4.8,4.86,4.86,66000
11/12/2012,4.86,4.86,4.86,4.86,4.86,0
11/13/2012,4.85,5,4.85,5,5,700
11/14/2012,5,5,5,5,5,0
11/15/2012,5,5,5,5,5,400
11/16/2012,4.99,4.99,4.99,4.99,4.99,200
11/19/2012,4.8,4.8,4.6,4.6,4.6,5800
11/20/2012,4.6,4.6,4.6,4.6,4.6,0
11/21/2012,4.6,4.6,4.6,4.6,4.6,0
11/23/2012,4.6,4.6,4.6,4.6,4.6,0
11/26/2012,4.4,4.4,4.4,4.4,4.4,1000
11/27/2012,4.4,4.4,4.4,4.4,4.4,0
11/28/2012,4.4,4.4,4.4,4.4,4.4,0
11/29/2012,4.4,4.4,4.4,4.4,4.4,0
11/30/2012,4.3,4.3,4.3,4.3,4.3,2000
12/3/2012,4.25,4.25,4,4,4,1200
12/4/2012,3.9,3.9,3.75,3.75,3.75,2600
12/5/2012,3.75,3.75,3.75,3.75,3.75,0
12/6/2012,3.9,3.9,3.9,3.9,3.9,1000
12/7/2012,4,4,4,4,4,1000
12/10/2012,3.96,3.98,3.96,3.98,3.98,300
12/11/2012,3.98,3.98,3.98,3.98,3.98,0
12/12/2012,3.91,3.91,3.91,3.91,3.91,100
12/13/2012,3.91,3.91,3.91,3.91,3.91,0
12/14/2012,3.91,3.91,3.91,3.91,3.91,0
12/17/2012,3.75,3.8,3.65,3.65,3.65,1300
12/18/2012,3.55,3.64,3.55,3.64,3.64,4100
12/19/2012,3.6,3.6,3.5,3.5,3.5,2600
12/20/2012,3.4,3.4,3.25,3.3,3.3,4100
12/21/2012,3.25,3.55,3.25,3.25,3.25,4000
12/24/2012,3.31,3.31,3.25,3.25,3.25,1000
12/26/2012,3.25,3.25,3.25,3.25,3.25,0
12/27/2012,3.61,3.65,3.57,3.61,3.61,1400
12/28/2012,3.72,3.72,3.72,3.72,3.72,400
12/31/2012,3.5,3.5,3.5,3.5,3.5,2000
1/2/2013,3.75,3.75,3.5,3.5,3.5,4400
1/3/2013,3.5,3.5,3.5,3.5,3.5,0
1/4/2013,3.5,3.5,3.5,3.5,3.5,0
1/7/2013,3.5,3.5,3.5,3.5,3.5,0
1/8/2013,4,4.2,3.95,3.95,3.95,500
1/9/2013,3.78,4.1,3.78,4.1,4.1,700
