Date,Open,High,Low,Close,Adj Close,Volume
3/24/2005,976.5,1044.75,947.099976,9.6,1008,200
3/28/2005,1050,1155,1050,10.250001,1076.25,500
3/29/2005,1085.699951,1110.900024,999.599976,9.830001,1032.150024,100
3/30/2005,1050,1068.900024,1042.650024,10.000001,1050,0
3/31/2005,1076.25,1076.25,1044.75,10.030002,1053.150024,100
4/1/2005,1050,1097.25,1030.050049,10.450001,1097.25,200
4/4/2005,1097.25,1097.25,1055.25,10.290001,1080.449951,0
4/5/2005,1076.25,1228.5,1076.25,11.000001,1155,300
4/6/2005,1186.5,1417.5,1181.25,12.700002,1333.5,700
4/7/2005,1365,1415.400024,1323,12.940001,1358.699951,600
4/8/2005,1260,1335.599976,1260,12.200002,1281,300
4/11/2005,1186.5,1232.699951,1144.5,11.290001,1185.449951,300
4/12/2005,1185.449951,1192.800049,1114.050049,10.650001,1118.25,300
4/13/2005,1059.449951,1197,1055.25,10.280002,1079.400024,300
4/14/2005,1139.25,1204.349976,1061.550049,10.85,1139.25,200
4/15/2005,1153.949951,1170.75,1124.550049,10.830002,1137.150024,300
4/18/2005,1123.5,1123.5,1050,10.010001,1051.050049,100
4/19/2005,1153.949951,1153.949951,1061.550049,10.480001,1100.400024,0
4/20/2005,1128.75,1128.75,1061.550049,10.320001,1083.599976,0
4/21/2005,1060.5,1076.25,945,9.080001,953.400024,200
4/22/2005,1035.300049,1035.300049,950.25,9.440001,991.200012,400
4/25/2005,970.200012,981.75,907.200012,9,945,200
4/26/2005,846.299988,934.5,741.299988,8.620001,905.099976,300
4/27/2005,772.799988,929.25,772.799988,8.6,903,200
4/28/2005,924,924,864.150024,8.580001,900.900024,0
4/29/2005,924,924,846.299988,8.670001,910.349976,100
5/2/2005,910.349976,939.75,910.349976,8.900001,934.5,100
5/3/2005,976.5,976.5,892.5,9.140001,959.700012,200
5/4/2005,940.799988,997.5,932.400024,9.490001,996.450012,100
5/5/2005,1019.549988,1023.75,955.5,9.750001,1023.75,100
5/6/2005,1023.75,1050,990.150024,9.910001,1040.550049,100
5/9/2005,1050,1057.349976,1044.75,10.000001,1050,100
5/10/2005,1054.199951,1075.199951,1036.349976,10.240001,1075.199951,200
5/11/2005,1068.900024,1068.900024,1039.5,10.1,1060.5,0
5/12/2005,1082.550049,1152.900024,1025.849976,10.500001,1102.5,300
5/13/2005,1128.75,1128.75,1062.599976,10.6,1113,200
5/16/2005,1128.75,1152.900024,1097.25,10.950001,1149.75,200
5/17/2005,1149.75,1153.949951,1126.650024,10.740001,1127.699951,100
5/18/2005,1128.75,1128.75,1025.849976,10.450001,1097.25,100
5/19/2005,1075.199951,1075.199951,1044.75,9.990001,1048.949951,0
5/20/2005,1044.75,1055.25,1044.75,10.000001,1050,100
5/23/2005,1042.650024,1055.25,1037.400024,9.950001,1044.75,0
5/24/2005,1044.75,1044.75,1025.849976,9.940001,1043.699951,0
5/25/2005,1025.849976,1050,998.549988,10.000001,1050,100
5/26/2005,1059.449951,1101.449951,1002.75,10.22,1073.099976,100
5/27/2005,1097.25,1122.449951,1086.75,10.690001,1122.449951,300
5/31/2005,1155,1155,1077.300049,10.940001,1148.699951,200
6/1/2005,1077.300049,1144.5,1077.300049,10.450001,1097.25,100
6/2/2005,1098.300049,1144.5,1048.949951,10.090001,1059.449951,100
6/3/2005,1050,1134,946.049988,10.480001,1100.400024,100
6/6/2005,1170.75,1170.75,1090.949951,11.05,1160.25,200
6/7/2005,1181.25,1202.25,1145.550049,11.250001,1181.25,300
6/8/2005,1207.5,1237.949951,1118.25,11.710001,1229.550049,300
6/9/2005,1257.900024,1258.949951,1172.849976,11.550001,1212.75,400
6/10/2005,1256.849976,1258.949951,1200.150024,11.830002,1242.150024,100
6/13/2005,1250.550049,1250.550049,1155,11.690001,1227.449951,200
6/14/2005,1203.300049,1207.5,984.900024,11.290001,1185.449951,200
6/15/2005,1258.949951,1258.949951,1128.75,10.77,1130.849976,700
6/16/2005,1233.75,1233.75,1128.75,10.950001,1149.75,400
6/17/2005,1156.050049,1165.5,1142.400024,11.05,1160.25,500
6/20/2005,1232.699951,1232.699951,1025.849976,9.900001,1039.5,600
6/21/2005,1039.5,1039.5,866.25,9.140001,959.700012,1500
6/22/2005,945,1060.5,932.400024,9.150001,960.75,400
6/23/2005,945,996.450012,915.599976,9.3,976.5,600
6/24/2005,1036.349976,1086.75,979.650024,9.530002,1000.650024,2900
6/27/2005,1074.150024,1074.150024,969.150024,9.440001,991.200012,500
6/28/2005,951.299988,1022.700012,951.299988,9.200001,966,200
6/29/2005,946.049988,1018.5,945,9.620001,1010.099976,200
6/30/2005,1018.5,1048.949951,979.650024,9.97,1046.849976,900
7/1/2005,1044.75,1048.949951,1022.700012,9.990001,1048.949951,300
7/5/2005,1048.949951,1057.349976,988.049988,9.47,994.349976,400
7/6/2005,1021.650024,1021.650024,975.450012,9.480001,995.400024,300
7/7/2005,973.349976,983.849976,960.75,9.150001,960.75,100
7/8/2005,949.200012,970.200012,935.549988,9.170001,962.849976,200
7/11/2005,972.299988,1009.049988,967.049988,9.450001,992.25,100
7/12/2005,982.799988,1008,936.599976,9.260001,972.299988,300
7/13/2005,1019.549988,1019.549988,937.650024,9.02,947.099976,300
7/14/2005,997.5,997.5,916.650024,8.900001,934.5,300
7/15/2005,939.75,939.75,910.349976,8.880001,932.400024,0
7/18/2005,897.75,899.849976,834.75,8.250001,866.25,1000
7/19/2005,822.150024,834.75,771.75,7.780001,816.900024,1400
7/20/2005,817.950012,840,809.549988,7.990001,838.950012,400
7/21/2005,837.900024,871.5,825.299988,8.300001,871.5,400
7/22/2005,868.349976,903,868.349976,8.450001,887.25,400
7/25/2005,888.299988,895.650024,840,8.02,842.099976,400
7/26/2005,873.599976,882,840,8.250001,866.25,700
7/27/2005,857.849976,882,857.849976,8.400001,882,200
7/28/2005,882,882,868.349976,8.300001,871.5,200
7/29/2005,857.849976,871.5,840,8.140001,854.700012,300
8/1/2005,850.5,865.200012,843.150024,8.030002,843.150024,300
8/2/2005,843.150024,845.25,815.849976,8.050001,845.25,300
8/3/2005,864.150024,895.650024,787.5,7.960001,835.799988,100
8/4/2005,852.599976,852.599976,792.75,8.000001,840,300
8/5/2005,850.5,896.700012,835.799988,8.150001,855.75,100
8/8/2005,892.5,892.5,840,8.090001,849.450012,100
8/9/2005,840,866.25,834.75,8.030002,843.150024,100
8/10/2005,829.5,929.25,820.049988,8.8,924,600
8/11/2005,939.75,976.5,892.5,8.640001,907.200012,900
8/12/2005,971.25,971.25,914.549988,8.990001,943.950012,1000
8/15/2005,946.049988,1018.5,945,9.570001,1004.849976,800
8/16/2005,1013.25,1026.900024,927.150024,9.140001,959.700012,800
8/17/2005,946.049988,946.049988,893.549988,8.790001,922.950012,300
8/18/2005,907.200012,956.549988,900.900024,8.780002,921.900024,200
8/19/2005,925.049988,925.049988,888.299988,8.590001,901.950012,100
8/22/2005,884.099976,924,882,8.590001,901.950012,400
8/23/2005,927.150024,945,892.5,8.900001,934.5,700
8/24/2005,934.5,939.75,918.75,8.8,924,200
8/25/2005,961.799988,969.150024,904.049988,8.760001,919.799988,300
8/26/2005,904.049988,929.25,904.049988,8.620001,905.099976,100
8/29/2005,934.5,957.599976,887.25,8.500001,892.5,300
8/30/2005,901.950012,901.950012,883.049988,8.460001,888.299988,300
8/31/2005,874.650024,883.049988,858.900024,8.350001,876.75,300
9/1/2005,877.799988,877.799988,813.75,7.800001,819,400
9/2/2005,813.75,865.200012,813.75,8.240001,865.200012,1200
9/6/2005,866.25,876.75,856.799988,8.320001,873.599976,400
9/7/2005,876.75,876.75,853.650024,8.150001,855.75,400
9/8/2005,855.75,865.200012,838.950012,8.200001,861,400
