Date,Open,High,Low,Close,Adj Close,Volume
1/19/2012,10.1,10.29,9.9,10.1,10.1,3599000
1/20/2012,10.1,10.1,9.5,9.73,9.73,440100
1/23/2012,9.61,9.64,8.65,9.49,9.49,278900
1/24/2012,9.47,9.86,9.47,9.85,9.85,77800
1/25/2012,9.8,10,9.8,9.82,9.82,76800
1/26/2012,10.04,10.04,9.77,9.81,9.81,28100
1/27/2012,9.8,9.97,9.8,9.8,9.8,28400
1/30/2012,9.79,9.79,9,9.15,9.15,93100
1/31/2012,9.26,9.26,8.65,9.12,9.12,58500
2/1/2012,9.21,9.49,9.11,9.15,9.15,124600
2/2/2012,9.24,9.24,9.05,9.24,9.24,7100
2/3/2012,8.6,9.43,8.56,9.24,9.24,259400
2/6/2012,9.29,9.29,8.96,9.28,9.28,19100
2/7/2012,9.28,9.33,9.28,9.32,9.32,8900
2/8/2012,9.25,9.28,8.68,9.24,9.24,27500
2/9/2012,9.1,9.3,9.1,9.3,9.3,8600
2/10/2012,9.23,9.33,8.72,9.26,9.26,68900
2/13/2012,9.34,9.51,9.1,9.42,9.42,102300
2/14/2012,9.55,9.55,9.38,9.46,9.46,8400
2/15/2012,9.47,9.6,9.42,9.52,9.52,227000
2/16/2012,9.52,9.84,9.52,9.58,9.58,32800
2/17/2012,9.56,9.68,9.5,9.5,9.5,59700
2/21/2012,9.55,9.55,9.1,9.24,9.24,58100
2/22/2012,9.32,9.41,9.2,9.24,9.24,53100
2/23/2012,9.5,9.85,9.5,9.77,9.77,67300
2/24/2012,9.75,9.85,9.73,9.82,9.82,18900
2/27/2012,9.79,9.81,9.26,9.77,9.77,35200
2/28/2012,9.94,10.04,9.61,9.61,9.61,133700
2/29/2012,9.88,9.88,9.49,9.57,9.57,31700
3/1/2012,9.66,9.86,9.32,9.54,9.54,18600
3/2/2012,9.49,9.71,9.26,9.71,9.71,11400
3/5/2012,9.72,9.8,9.68,9.7,9.7,28800
3/6/2012,9.7,9.8,9.38,9.57,9.57,56200
3/7/2012,9.75,9.9,9.6,9.9,9.9,24500
3/8/2012,9.94,9.98,9.62,9.75,9.75,46600
3/9/2012,9.76,9.78,9.26,9.39,9.39,176800
3/12/2012,9.36,10,9.36,9.94,9.94,46600
3/13/2012,9.94,10,9.74,10,10,14200
3/14/2012,10,10.1,9.85,9.9,9.9,40600
3/15/2012,9.9,10.59,9.9,10.5,10.5,96600
3/16/2012,10.57,10.65,10.25,10.35,10.35,122600
3/19/2012,10.35,10.4,10.06,10.18,10.18,36100
3/20/2012,10.13,10.23,9.77,10.13,10.13,28800
3/21/2012,10.18,10.18,9.87,9.92,9.92,55300
3/22/2012,10.18,10.18,9.9,10.14,10.14,33300
3/23/2012,10.13,10.43,10.11,10.25,10.25,41400
3/26/2012,10.32,10.44,10.12,10.21,10.21,55800
3/27/2012,10.21,10.46,9.98,10.09,10.09,84300
3/28/2012,10.19,10.38,10,10.06,10.06,46700
3/29/2012,10.04,10.15,9.9,10.06,10.06,53200
3/30/2012,10.09,10.6,10.09,10.36,10.36,600300
4/2/2012,10.39,10.58,10.04,10.26,10.26,88000
4/3/2012,10.2,10.34,10.16,10.27,10.27,57400
4/4/2012,10.16,10.17,9.93,10.01,10.01,35500
4/5/2012,10.02,10.26,9.95,9.98,9.98,59200
4/9/2012,9.89,9.89,9.16,9.33,9.33,123900
4/10/2012,9.35,9.64,8.9,9.49,9.49,92500
4/11/2012,9.53,9.77,9.53,9.64,9.64,39000
4/12/2012,9.63,10.02,9.63,9.9,9.9,66000
4/13/2012,9.91,10.07,9.42,9.44,9.44,24700
4/16/2012,9.51,9.57,9.3,9.52,9.52,12800
4/17/2012,9.64,9.93,9.63,9.66,9.66,39300
4/18/2012,9.61,9.66,9.09,9.17,9.17,118800
4/19/2012,9.3,9.46,9.16,9.19,9.19,16900
4/20/2012,9.39,9.56,9.18,9.26,9.26,19600
4/23/2012,9.16,9.17,8.9,9.01,9.01,45100
4/24/2012,9.01,9.13,8.89,8.97,8.97,17200
4/25/2012,9.09,9.09,8.8,8.9,8.9,32200
4/26/2012,8.92,9.13,8.75,8.97,8.97,33200
4/27/2012,8.97,9.16,8.97,9.12,9.12,14000
4/30/2012,9.07,9.4,8.9,9.07,9.07,118500
5/1/2012,9.11,9.23,9.01,9.01,9.01,47000
5/2/2012,8.86,9.14,8.86,8.96,8.96,26000
5/3/2012,8.9,9.12,8.81,9.08,9.08,51000
5/4/2012,9.02,9.08,8.75,8.76,8.76,36000
5/7/2012,8.78,8.84,8.62,8.66,8.66,21000
5/8/2012,8.58,8.67,8.4,8.43,8.43,25300
5/9/2012,8.37,8.63,8.37,8.43,8.43,49300
5/10/2012,8.51,8.55,7.94,8.07,8.07,51000
5/11/2012,8.06,8.14,7.72,7.82,7.82,45800
5/14/2012,7.75,7.77,7.3,7.31,7.31,76000
5/15/2012,7.34,7.99,7.34,7.89,7.89,35200
5/16/2012,7.96,7.97,7.61,7.89,7.89,31000
5/17/2012,7.88,7.9,6.95,7.13,7.13,196100
5/18/2012,7.18,7.48,6.97,7.04,7.04,33000
5/21/2012,7.07,7.07,6.48,6.76,6.76,107000
5/22/2012,6.76,6.86,6.46,6.6,6.6,24100
5/23/2012,6.59,6.69,6.47,6.69,6.69,22900
5/24/2012,6.71,7.19,6.71,7.08,7.08,28200
5/25/2012,7.09,7.1,6.64,6.98,6.98,42900
5/29/2012,7.02,7.11,6.91,6.91,6.91,18800
5/30/2012,6.86,6.99,6.65,6.82,6.82,12100
5/31/2012,6.86,6.94,6.54,6.94,6.94,101100
6/1/2012,6.84,6.84,6.57,6.58,6.58,13400
6/4/2012,6.65,6.84,6.61,6.8,6.8,11600
6/5/2012,6.75,7.22,6.75,6.98,6.98,24900
6/6/2012,7.09,7.3,6.73,7.24,7.24,23000
6/7/2012,7.29,7.29,6.82,7.03,7.03,22800
6/8/2012,6.96,7.08,6.9,7.04,7.04,10000
6/11/2012,7.15,7.15,6.78,6.81,6.81,16000
6/12/2012,6.88,6.88,6.5,6.69,6.69,59800
6/13/2012,6.65,6.9,6.64,6.83,6.83,22000
