Date,Open,High,Low,Close,Volume,Adj Close
6/12/2014,10.85,11.13,10.79,11.13,1048300,11.13
6/11/2014,10.61,11.17,10.54,10.91,853600,10.91
6/10/2014,10.58,10.86,10.51,10.67,811200,10.67
6/9/2014,10.45,10.74,10.33,10.64,845300,10.64
6/6/2014,10.32,10.49,10.23,10.49,641900,10.49
6/5/2014,9.87,10.45,9.76,10.28,776300,10.28
6/4/2014,9.42,9.9,9.33,9.86,784200,9.86
6/3/2014,9.65,9.77,9.34,9.46,778300,9.46
6/2/2014,10.05,10.22,9.64,9.72,863900,9.72
5/30/2014,10.5,10.54,9.9,9.99,1144600,9.99
5/29/2014,11.1,11.72,10.39,10.44,4123800,10.44
5/28/2014,9.7,9.81,9.61,9.74,539700,9.74
5/27/2014,9.44,9.75,9.4,9.68,473700,9.68
5/23/2014,9.55,9.81,9.32,9.41,706700,9.41
5/22/2014,9.18,9.64,9.12,9.52,707000,9.52
5/21/2014,9.07,9.24,8.99,9.18,581800,9.18
5/20/2014,9.15,9.29,8.95,9,740000,9
5/19/2014,9.14,9.29,9.07,9.2,705700,9.2
5/16/2014,9.26,9.3,8.98,9.21,661800,9.21
5/15/2014,9.05,9.32,8.9,9.27,901300,9.27
5/14/2014,9.26,9.3,9,9.02,667400,9.02
5/13/2014,9.27,9.49,9.18,9.26,894100,9.26
5/12/2014,9.2,9.5,9.14,9.17,1064600,9.17
5/9/2014,9.37,9.44,9.01,9.08,1317700,9.08
5/8/2014,9.56,9.97,9.24,9.39,2108200,9.39
5/7/2014,10.35,10.39,9.36,9.49,2640000,9.49
5/6/2014,10.29,10.53,9.71,10.37,3727600,10.37
5/5/2014,10.65,10.87,10.47,10.86,1179700,10.86
5/2/2014,10.39,11.04,10.3,10.68,1022800,10.68
5/1/2014,10.74,10.95,10.25,10.37,1473500,10.37
4/30/2014,10.67,10.9,10.52,10.76,1564100,10.76
4/29/2014,10.88,11.14,10.65,10.72,829400,10.72
4/28/2014,11.15,11.38,10.65,10.8,864500,10.8
4/25/2014,11.25,11.33,10.97,11.13,744800,11.13
4/24/2014,11.44,11.52,11.03,11.28,1114600,11.28
4/23/2014,11.49,11.6,11.24,11.4,1314500,11.4
4/22/2014,11.49,11.65,11.06,11.52,761500,11.52
4/21/2014,11.23,11.47,11.06,11.43,793100,11.43
4/17/2014,11.4,11.59,11.05,11.21,732600,11.21
4/16/2014,11.03,11.46,11.02,11.44,798400,11.44
4/15/2014,10.8,10.97,10.47,10.95,775700,10.95
4/14/2014,10.83,11.08,10.65,10.8,699600,10.8
4/11/2014,10.77,11,10.48,10.69,918000,10.69
4/10/2014,11.8,11.83,10.75,10.9,1339600,10.9
4/9/2014,11.07,11.66,10.96,11.5,894300,11.5
4/8/2014,10.8,11.13,10.64,11.06,877200,11.06
4/7/2014,10.95,10.99,10.53,10.76,1294700,10.76
4/4/2014,11.45,11.57,10.87,10.95,1685100,10.95
4/3/2014,11.94,11.95,11.36,11.43,870800,11.43
4/2/2014,11.79,12,11.73,11.87,1387100,11.87
4/1/2014,11.71,11.85,11.43,11.79,1021800,11.79
3/31/2014,11.33,11.7,11.13,11.61,1374500,11.61
3/28/2014,11.5,11.89,11.14,11.21,2253500,11.21
3/27/2014,10.99,11.49,10.68,11.45,6827000,11.45
3/26/2014,12.34,12.34,11.54,11.55,6445400,11.55
3/25/2014,13.1,13.66,12.93,13.09,809600,13.09
3/24/2014,13.36,13.55,12.84,13.21,1001900,13.21
3/21/2014,14.29,14.33,13.31,13.36,1777200,13.36
3/20/2014,14.33,14.5,14,14.11,974600,14.11
3/19/2014,14.61,14.8,14.2,14.38,717400,14.38
3/18/2014,13.8,14.71,13.59,14.65,770600,14.65
3/17/2014,14.04,14.38,13.75,13.78,523400,13.78
3/14/2014,13.76,14.12,13.43,14,902000,14
3/13/2014,14.69,14.98,13.7,14.01,1099200,14.01
3/12/2014,14.25,15,13.82,14.7,1635500,14.7
3/11/2014,14.13,14.44,13.55,14.41,2294600,14.41
3/10/2014,13.49,13.77,13.3,13.49,990900,13.49
3/7/2014,12.92,13.72,12.77,13.58,1472900,13.58
3/6/2014,13,13.2,12.62,12.9,1133400,12.9
3/5/2014,12.62,13.4,12.38,13,1940300,13
3/4/2014,12.04,12.65,11.95,12.33,2154700,12.33
3/3/2014,12.01,12.38,11.75,12.29,1283800,12.29
2/28/2014,12.51,12.57,12.07,12.27,2435400,12.27
2/27/2014,12.7,12.74,12.1,12.6,3770000,12.6
2/26/2014,12.08,12.08,11.5,11.81,1494200,11.81
2/25/2014,11.95,12.15,11.52,11.79,1216600,11.79
2/24/2014,11.47,11.98,11.25,11.93,1884900,11.93
2/21/2014,11.45,11.45,11.11,11.24,523200,11.24
2/20/2014,11.39,11.44,11.16,11.39,560400,11.39
2/19/2014,11.5,11.8,11.35,11.36,916600,11.36
2/18/2014,11.3,11.41,11.02,11.4,956300,11.4
2/14/2014,10.99,11.44,10.95,11.07,475000,11.07
2/13/2014,11.1,11.15,10.88,10.96,614800,10.96
2/12/2014,11.04,11.21,10.86,11.11,879500,11.11
2/11/2014,11.53,11.62,11.09,11.11,885200,11.11
2/10/2014,11.9,12.11,11.42,11.52,940700,11.52
2/7/2014,12.04,12.15,11.81,11.93,430000,11.93
2/6/2014,12.01,12.45,11.98,12.05,496000,12.05
2/5/2014,12.32,12.5,11.87,12.02,771100,12.02
2/4/2014,12.75,13,11.89,12.51,1569900,12.51
2/3/2014,12.84,13.46,12.09,12.56,2160900,12.56
1/31/2014,11.1,13.08,10.55,12.97,4995600,12.97
1/30/2014,9.41,10.01,9.41,9.77,751900,9.77
1/29/2014,9.57,9.71,9.32,9.33,442600,9.33
1/28/2014,9.56,9.7,9.45,9.62,787600,9.62
1/27/2014,10.05,10.45,9.55,9.57,575100,9.57
1/24/2014,10.3,10.41,9.81,9.99,591100,9.99
1/23/2014,10.45,10.47,10.23,10.36,397100,10.36
1/22/2014,10.42,10.55,10.4,10.47,297800,10.47
1/21/2014,10.49,10.6,10.37,10.44,580400,10.44
1/17/2014,10.52,10.84,10.3,10.36,427100,10.36
1/16/2014,10.38,10.55,10.32,10.48,770200,10.48
1/15/2014,10,10.53,9.99,10.43,1000800,10.43
1/14/2014,9.52,10.03,9.52,9.91,649000,9.91
1/13/2014,9.95,9.99,9.5,9.54,784600,9.54
1/10/2014,10,10.1,9.87,9.93,1351500,9.93
