Date,Open,High,Low,Close,Adj Close,Volume
1/4/1982,5.48446,5.54159,5.39877,24.125019,5.51303,321100
1/5/1982,5.39877,5.51303,5.25594,23.749996,5.42733,442400
1/6/1982,5.17025,5.34164,4.97029,22.375013,5.11312,565800
1/7/1982,5.02742,5.11312,4.91316,21.87501,4.99886,508900
1/8/1982,5.02742,5.08455,4.97029,21.99999,5.02742,340400
1/11/1982,4.85603,5.08455,4.62751,20.625008,4.71321,521100
1/12/1982,4.74177,4.82747,4.65608,21.125008,4.82747,473400
1/13/1982,4.71321,4.85603,4.57038,20.249983,4.62751,313300
1/14/1982,4.71321,4.85603,4.57038,20.875008,4.77034,260800
1/15/1982,4.85603,4.91316,4.7989,21.499987,4.91316,185900
1/18/1982,4.85603,4.91316,4.7989,21.37501,4.8846,208700
1/19/1982,4.62751,4.85603,4.39899,19.625004,4.48469,1352100
1/20/1982,4.54182,4.62751,4.45612,20.249983,4.62751,477400
1/21/1982,4.62751,4.65608,4.57038,20.125004,4.59895,393400
1/22/1982,4.59895,4.65608,4.54182,20.125004,4.59895,238000
1/25/1982,4.59895,4.65608,4.54182,19.999983,4.57038,223600
1/26/1982,4.51325,4.62751,4.39899,19.499981,4.45612,329500
1/27/1982,4.54182,4.62751,4.45612,20.249983,4.62751,160100
1/28/1982,4.74177,4.7989,4.65608,20.749985,4.74177,301900
1/29/1982,4.85603,4.91316,4.7989,20.999987,4.7989,326000
2/1/1982,4.68464,4.74177,4.62751,20.375004,4.65608,123800
2/2/1982,4.62751,4.65608,4.57038,19.999983,4.57038,227900
2/3/1982,4.54182,4.62751,4.45612,19.749981,4.51325,197300
2/4/1982,4.54182,4.57038,4.48469,19.875004,4.54182,176300
2/5/1982,4.51325,4.57038,4.45612,19.625004,4.48469,123800
2/8/1982,4.39899,4.48469,4.28473,18.749977,4.28473,328600
2/9/1982,4.28473,4.34186,4.19904,18.624998,4.25617,207800
2/10/1982,4.17048,4.3133,3.99909,17.750019,4.05622,397700
2/11/1982,4.08478,4.17048,3.97052,17.624996,4.02765,400800
2/12/1982,4.17048,4.22761,4.08478,18.000019,4.11335,541300
2/16/1982,4.05622,4.11335,3.97052,17.874998,4.08478,231000
2/17/1982,4.14191,4.17048,4.08478,17.874998,4.08478,408200
2/18/1982,4.19904,4.25617,4.14191,18.500021,4.22761,163200
2/19/1982,4.19904,4.22761,4.14191,18.374998,4.19904,138200
2/22/1982,4.19904,4.34186,4.05622,17.750019,4.05622,187200
2/23/1982,3.99909,4.08478,3.88483,17.874998,4.08478,267300
2/24/1982,4.14191,4.22761,4.02765,18.124998,4.14191,301900
2/25/1982,4.17048,4.25617,4.08478,18.500021,4.22761,497500
2/26/1982,4.28473,4.3133,4.22761,18.749977,4.28473,250300
3/1/1982,4.22761,4.3133,4.14191,18.624998,4.25617,213100
3/2/1982,4.22761,4.3133,4.11335,18.000019,4.11335,136000
3/3/1982,4.02765,4.11335,3.91339,17.624996,4.02765,514100
3/4/1982,3.79913,3.91339,3.65631,16.374992,3.742,267300
3/5/1982,3.71344,3.85626,3.54205,16.000013,3.65631,344800
3/8/1982,3.62774,3.79913,3.42779,15.000009,3.42779,262500
3/9/1982,3.48492,3.59918,3.37066,15.374988,3.51348,392000
3/10/1982,3.65631,3.8277,3.48492,16.000013,3.65631,238900
3/11/1982,3.742,3.79913,3.68487,16.12499,3.68487,140900
3/12/1982,3.68487,3.742,3.62774,16.12499,3.68487,143500
3/15/1982,3.79913,3.85626,3.742,16.624992,3.79913,99700
3/16/1982,3.85626,3.94196,3.742,16.750015,3.8277,128200
3/17/1982,3.88483,3.91339,3.85626,17.000015,3.88483,59000
3/18/1982,4.02765,4.11335,3.91339,18.000019,4.11335,208200
3/19/1982,4.17048,4.22761,4.08478,18.000019,4.11335,141700
3/22/1982,4.11335,4.17048,4.05622,18.000019,4.11335,111100
3/23/1982,4.14191,4.22761,4.02765,18.124998,4.14191,195100
